Package,Total Classes,Total Methods,Total Lines,Instruction Coverage (%),Branch Coverage (%),Average Coverage (%),Status,Priority
com/imobile3/pos/data/datasources,12,31,135,38.11,47.73,42.92,Poor,High
com/imobile3/pos/ui/funds/editaccountinfo/interfaces,1,0,0,0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/usecases,5,20,34,87.32,100.0,93.66,Excellent,Low
com/imobile3/pos/app,26,193,730,30.44,22.17,26.3,Poor,High
com/imobile3/pos/ui/timeclock/contracts,11,16,22,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/inventory/tags/model,3,19,24,64.37,0.0,32.19,Poor,High
com/imobile3/pos/data/flavor/sharefairfunds,16,48,96,3.51,0.0,1.75,Critical,Immediate
com/imobile3/pos/data/async/queue/usecases,5,13,68,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/loyalty/rewards/views,1,9,56,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/funds/editaccountinfo,9,18,41,35.77,0.0,17.89,Critical,Immediate
com/imobile3/pos/ui/register/about,73,113,419,16.89,8.03,12.46,Critical,Immediate
com/imobile3/pos/data/async/transaction/upload,24,132,1091,8.88,3.65,6.27,Critical,Immediate
com/imobile3/pos/ui/funds,26,77,189,84.02,57.69,70.85,Fair,High
com/imobile3/pos/data/module/batch,5,84,406,76.77,50.82,63.8,Fair,High
com/imobile3/pos/data/async/giftcard,8,17,58,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/db,4,6,10,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/funds/transfer/dialog,2,4,31,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/module/account/config,11,331,1069,74.56,66.54,70.55,Fair,High
com/imobile3/pos/ui/fiscalization/usecase,20,22,94,48.33,47.5,47.91,Poor,High
com/imobile3/pos/ui/order/cart,11,26,65,47.52,50.0,48.76,Poor,High
com/imobile3/pos/ui/common/form,6,22,64,2.44,0.0,1.22,Critical,Immediate
com/imobile3/pos/ui/register/hardware/terminal,7,24,46,33.33,0.0,16.66,Critical,Immediate
com/imobile3/pos/ui/register/setup/usecase,13,15,37,24.88,20.0,22.44,Poor,High
com/imobile3/pos/data/peripherals/hid,3,9,66,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/pagination,2,9,15,93.39,50.0,71.69,Fair,High
com/imobile3/pos/data/flavor/storedvalue,4,46,85,19.23,100.0,59.62,Excellent,Low
com/imobile3/pos/data/module/batch/report/repository,2,6,6,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/ui/order/checkout/tender/voucher,4,3,10,0.0,0,0.0,Critical,Immediate
com/imobile3/pos/data/async/app,2,15,132,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/order/rules,8,63,451,88.17,77.52,82.84,Good,Low
com/imobile3/pos/ui/inventory/items,54,88,204,3.87,0.0,1.94,Critical,Immediate
com/imobile3/pos/ui/order/invoice/views,12,58,281,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/invoice,17,87,257,25.68,0.0,12.84,Critical,Immediate
com/imobile3/pos/ui/inventory,44,121,431,82.69,55.51,69.1,Fair,High
com/imobile3/pos/ui/timeclock/usecases,21,25,121,1.99,0.0,0.99,Critical,Immediate
com/imobile3/pos/ui/order/refund,50,151,658,46.91,34.55,40.73,Poor,High
com/imobile3/pos/ui/order/modifier,5,35,85,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/funds/transfer,18,42,135,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/peripherals/terminal/applaunch,10,24,229,22.55,19.23,20.89,Poor,High
com/imobile3/pos/ui/order/operations,1,1,7,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/auth,23,47,167,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/loyalty/contract,6,14,29,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/module/tipadjust,1,1,25,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/customer/usecases,23,28,104,2.2,0.0,1.1,Critical,Immediate
com/imobile3/pos/ui/funds/editaccountinfo/bankinfo,7,42,176,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/ui/register/management/cashcounter,21,122,426,86.84,90.32,88.58,Good,Low
com/imobile3/pos/data/module/account,11,100,383,63.31,63.44,63.38,Fair,High
com/imobile3/pos/ui/register/about/models,6,47,84,0.0,0.0,0.0,Critical,Immediate
com/imobile3/pos/data/async/queue/payloads,12,54,675,42.98,38.11,40.55,Poor,High
com/imobile3/pos/ui/order/split,16,56,150,40.99,35.42,38.2,Poor,High
